Department,faculty name
Deanship of Admissions & Registration,Samir Nadir Mekid
Deanship of Admissions & Registration,Mohammad Ahmad Ilyas Mohammad Abdul-malek
Deanship of Admissions & Registration,Murat Cetin
Architecture,Fahad A.M Al-Said
Architecture,jamal Al-Qawasmi
Architecture,Dr. Abdulgader Amir
Architecture,Rabee M. Reffat
Architecture,Dr. Thamer A. Al-Rugaib
Architecture,Khaled Sherbini
Architecture,Dr. Ahmed Sedky
Architecture,Omar Esam Al-Mahdy
Architecture,Yahya Al-Najjar
Architecture,Dr Shaibu Bala Garba
Architecture,Mr. Hassan M. Annazhah
Architecture,Mohammad Sharif Zami
Architecture,Mohammad Omar Babsail
Architecture,Omar Asfour
Architecture,A K M Kausarul Islam
Architecture,Ahmed Mohsen Sabry Abd El Fattah
Architecture,Jasim Azhar
Architecture,Mahmoud Hallak
Architecture,Nicola Delledonne
Architecture,Shamim Javed
Architectural Engineering,"Dr. Abdul-Mohsen, Al-Hammad"
Architectural Engineering,"Dr. Ismail, Budaiwi"
Architectural Engineering,"Dr. Sami, Khaiyat"
Architectural Engineering,"Dr. Mohammad, Al-Homoud"
Architectural Engineering,"Mr. Sabeer, Hamid"
Architectural Engineering,"Dr. Mohammad, Hassanain"
Architectural Engineering,"Dr. Hamoud, Dehwah"
Architectural Engineering,"Mr. Hassan, Balfaqih"
Architectural Engineering,"Dr. Maatouk, Khoukhi"
Architectural Engineering,"Dr. Adel, Abdou"
Architectural Engineering,Hassan Saeed Khan
Architectural Engineering,Djamel Ouis
Architectural Engineering,Adel Alshibani
Architectural Engineering,Mohammed Alhaji Mohammed
Architectural Engineering,Daeung Kim
Architectural Engineering,Mansour Mohammed Alhazmi
Architectural Engineering,Muhammad Asif
Civil Engineering,Fahd H.Dakhil
Civil Engineering,Dr. Maher A. Bader
Civil Engineering,Dr. Talat A. Bader
Civil Engineering,Dr. Rashid Allayla
Civil Engineering,radwan
Civil Engineering,Dr.Mustafa Y. Al-Mandil
Civil Engineering,Alfarabi Sharif
Civil Engineering,Dr. Shukri al-Senan
Civil Engineering,saleh a.almana
Civil Engineering,"AL-GAHTANI, AHMAD SAAD"
Civil Engineering,hamad
Civil Engineering,Dr. Muhammad H. Al-Malack
Civil Engineering,Dr. Saeid A. Alghamdi
Civil Engineering,Dr. Naser A. Al-Shayea
Civil Engineering,saiban
Civil Engineering,Dr.Hasan M. Al-Ahmadi
Civil Engineering,Dr. Hamdan Al-Ghamedy
Civil Engineering,mohammad al-suwaiyan
Civil Engineering,Dr. Nedal T. Ratrout
Civil Engineering,Dr. Salah Uthman Al-Dulaijan
Civil Engineering,Dr. Khalaf Aidhah Al-Ofi
Civil Engineering,Dr. Mohammad Ali Al-Sughaiyer
Civil Engineering,Husain J. Al-Gahtani
Civil Engineering,Ali Khamis AL-Yousef
Civil Engineering,Dr. Mesfer M. Al-Zahrani
Civil Engineering,Dr. Muhammad Al-Zahrani
Civil Engineering,Alaadin A. Bukhari
Civil Engineering,Dr. Omar Saeed Baghabra Al-Amoudi
Civil Engineering,Abul K. Azad
Civil Engineering,Dr.Achi Mohamed Ishaq
Civil Engineering,Ali Hussain Al-Ghadib
Civil Engineering,Omar Al-Attas
Civil Engineering,Dr. Shamshad Ahmad
Civil Engineering,Muhammad Vohra
Civil Engineering,Abdulrahman Khathlan
Civil Engineering,Mirza Ghouse Baig
Civil Engineering,Abdul-Hamid J. Al-Tayyib
Civil Engineering,Walid Abubaker Al-Kutti
Civil Engineering,Mostefa Bouchama
Civil Engineering,Dr. Mohammed Balush
Civil Engineering,Mohammed Hussain Essa
Civil Engineering,Ibrahim Yousef Saleh Al-Saghan
Civil Engineering,Md. Shakhawat Hossain Chowdhury
Civil Engineering,Md. Arifuzzaman
Civil Engineering,Ahmed Abdelrahman Abdelmaksoud Ibrahim
Civil Engineering,Abbas Ahmed Ibrahim Albu Shaqraa
Civil Engineering,Mohammed Ali Mohammed Alosta
Construction Engineering and Management,Dr. ABdulaziz A. bubshait
Construction Engineering and Management,Dr Soliman Almohawis
Construction Engineering and Management,Mohammed Alkhalil
Construction Engineering and Management,Prof. Osama Jannadi
Construction Engineering and Management,Prof. Sadi Assaf
Construction Engineering and Management,MOHAMMED S JALALUDDIN
Construction Engineering and Management,Ashraf Elazouni
Construction Engineering and Management,Dr. Ali A. Shash
Construction Engineering and Management,Mohsin Khalid Siddiqui
Construction Engineering and Management,Bambang Trigunarsyah Suhariadi
Construction Engineering and Management,Azzam Abdullah Alrajhi
Chemical Engineering,Dr. Dulaihan K. Al-Harbi
Chemical Engineering,Dr. Mohammad A. Abul-Hamayel
Chemical Engineering,Dr. Nureddin M. Abbas
Chemical Engineering,DR Mazen Al-Shalabi
Chemical Engineering,Dr. Mohamed. B. Amin
Chemical Engineering,Adnan Al-Amer
Chemical Engineering,Dr. Abdullah A. Shaikh
Chemical Engineering,Dr. Habib Hussain Al-Ali
Chemical Engineering,Dr. Nadhir A. Al-Baghli
Chemical Engineering,Dr. Sulaiman Al-Khattaf
Chemical Engineering,Dr. Muhammad Al-Arfaj
Chemical Engineering,Esam Z Hamad
Chemical Engineering,ASHRAFHUSEIN i. FATEHI
Chemical Engineering,Nasir M. Tukur
Chemical Engineering,Ramazan Kahraman
Chemical Engineering,Dr. S. U. Rahman
Chemical Engineering,Basel Abu-Sharkh
Chemical Engineering,Dr. Ibnelwaleed A. Hussein
Chemical Engineering,Raafat Alnaizy
Chemical Engineering,Halim Hamid Redhwi
Chemical Engineering,Dr. Usamah A. Al-Mubaiyedh
Chemical Engineering,"Maadhah, Ali G."
Chemical Engineering,Dr Muhammad Al-Saleh
Chemical Engineering,kamal E. A. Mahgoub
Chemical Engineering,Dr. Kevin F. Loughlin
Chemical Engineering,Habib Zughbi
Chemical Engineering,Dr. Abdulhadi Al-Juhani
Chemical Engineering,Javaid SM. Zaidi
Chemical Engineering,Dr. Mmadouh Al-Harthi
Chemical Engineering,Dr. Reyad Awwad Shawabkeh
Chemical Engineering,Dr. Naim M. Faqir
Chemical Engineering,Dr. MUATAZ ALI ATIEH
Chemical Engineering,Basim Ahmed Abussaud
Chemical Engineering,Mohammed Awwal Suleiman
Chemical Engineering,Dr. Eid M. Al-Mutairi
Chemical Engineering,Abduallah Mohsen Baduraig
Chemical Engineering,Oki Muraza
Chemical Engineering,Mohammad Shamsuzzoha
Chemical Engineering,Housam Binous
Chemical Engineering,Amjad Ashfaque Shaikh
Chemical Engineering,Mohammad Mozahar Hossain
Chemical Engineering,Shaikh Abdur Razzak
Chemical Engineering,Nabeel Salem Abo-Ghander
Chemical Engineering,Faysal Mohammad Mansour Al-Khulaifi
Chemical Engineering,Nayef Mesnad Alsaifi
Chemical Engineering,Ali Saleh Alshami
Chemical Engineering,Zuhair Omar Malyabari
Chemical Engineering,Isa Ataallah Saeed Al Aslani
Chemical Engineering,Mustafa Saleh Nasser
Chemical Engineering,Isam Hasan Fahed Al-Jundi
Chemical Engineering,Abdulhadi Abdullah Hassan Al-Zahrani
Chemical Engineering,Farrukh Shehzad
Chemical Engineering,Umer Zahid Muhammad Zahid Hassan
Chemical Engineering,Mohammed Ahmed Sanhoob
Chemical Engineering,Mohammed Fahad Al-Khater
Chemical Engineering,Robin Simon Macpherson Chrystie
Chemistry,Prof. M. Z. El-Faer
Chemistry,Abdulaziz A. Suwaiyan
Chemistry,Dr. Abdullah J. Hamdan
Chemistry,Abdul Rahman Al-Arfaj
Chemistry,Dr. Assad Al-Thukair
Chemistry,Hasan Al-Muallem
Chemistry,Jameel Al-Thagfi
Chemistry,Abdul-Rahman Al-Betar
Chemistry,Professor Dr. Salah M Sultan
Chemistry,Dr. Mohammad Nahid Siddiqui
Chemistry,Dr. M. A. Morsy
Chemistry,Dr. Mazen Khaled
Chemistry,Mohammed. Fettouhi
Chemistry,Bassam El Ali
Chemistry,Dr. Zaki S. Seddigi
Chemistry,Prof. Dr. Abdalla Abulkibash
Chemistry,Dr. Mohammed TAriq Saeed
Chemistry,Prof. Jimmy S. Hwang
Chemistry,Prof. Mohamed I. M. Wazeer
Chemistry,Ali El-Said El-Rayyes
Chemistry,Dr.Mohammad Waqar Ashraf
Chemistry,"Dr. Than Htun, Maung"
